<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20101111,000000,1756.0000000
LKOH,D,20101112,000000,1741.5400000
LKOH,D,20101113,000000,1731.1000000
LKOH,D,20101115,000000,1748.3400000
LKOH,D,20101116,000000,1719.0000000
LKOH,D,20101117,000000,1724.9000000
LKOH,D,20101118,000000,1732.0000000
LKOH,D,20101119,000000,1745.6400000
LKOH,D,20101122,000000,1722.0000000
LKOH,D,20101123,000000,1701.0000000
LKOH,D,20101124,000000,1727.0000000
LKOH,D,20101125,000000,1723.0000000
LKOH,D,20101126,000000,1713.3500000
LKOH,D,20101129,000000,1682.9000000
LKOH,D,20101130,000000,1735.0000000
LKOH,D,20101201,000000,1790.0300000
LKOH,D,20101202,000000,1798.0100000
LKOH,D,20101203,000000,1812.0000000
LKOH,D,20101206,000000,1846.7800000
LKOH,D,20101207,000000,1816.0000000
LKOH,D,20101208,000000,1779.4900000
LKOH,D,20101209,000000,1785.2300000
LKOH,D,20101210,000000,1770.0000000
LKOH,D,20101213,000000,1761.8800000
LKOH,D,20101214,000000,1743.4000000
LKOH,D,20101215,000000,1757.8000000
LKOH,D,20101216,000000,1753.0900000
LKOH,D,20101217,000000,1761.9000000
LKOH,D,20101220,000000,1743.0000000
LKOH,D,20101221,000000,1751.0500000
LKOH,D,20101222,000000,1762.0500000
LKOH,D,20101223,000000,1760.8600000
LKOH,D,20101224,000000,1752.0000000
LKOH,D,20101227,000000,1735.7000000
LKOH,D,20101228,000000,1742.1800000
LKOH,D,20101229,000000,1745.0000000
LKOH,D,20101230,000000,1742.0000000
LKOH,D,20110111,000000,1798.0000000
LKOH,D,20110112,000000,1866.0000000
LKOH,D,20110113,000000,1903.0000000
LKOH,D,20110114,000000,1893.0000000
LKOH,D,20110117,000000,1924.9700000
LKOH,D,20110118,000000,1907.0000000
LKOH,D,20110119,000000,1932.7000000
LKOH,D,20110120,000000,1894.0000000
LKOH,D,20110121,000000,1931.0000000
LKOH,D,20110124,000000,1884.0000000
LKOH,D,20110125,000000,1889.8800000
LKOH,D,20110126,000000,1896.7800000
LKOH,D,20110127,000000,1880.0400000
LKOH,D,20110128,000000,1849.0500000
LKOH,D,20110131,000000,1834.9900000
LKOH,D,20110201,000000,1904.0000000
LKOH,D,20110202,000000,1955.0000000
LKOH,D,20110203,000000,1951.0000000
LKOH,D,20110204,000000,1965.0000000
LKOH,D,20110207,000000,1977.4800000
LKOH,D,20110208,000000,1933.0700000
LKOH,D,20110209,000000,1932.0000000
LKOH,D,20110210,000000,1893.9800000
LKOH,D,20110211,000000,1932.8600000
LKOH,D,20110214,000000,1912.9900000
LKOH,D,20110215,000000,1894.9000000
LKOH,D,20110216,000000,1915.9600000
LKOH,D,20110217,000000,1908.8000000
LKOH,D,20110218,000000,1923.1700000
LKOH,D,20110221,000000,1956.7100000
LKOH,D,20110222,000000,1948.8600000
LKOH,D,20110224,000000,1993.0000000
LKOH,D,20110225,000000,2006.0100000
LKOH,D,20110228,000000,2038.0300000
LKOH,D,20110301,000000,2030.0000000
LKOH,D,20110302,000000,2017.0000000
LKOH,D,20110303,000000,2035.0000000
LKOH,D,20110304,000000,2049.1000000
LKOH,D,20110305,000000,2065.5000000
LKOH,D,20110309,000000,2042.1000000
LKOH,D,20110310,000000,1983.5000000
LKOH,D,20110311,000000,1991.5000000
LKOH,D,20110314,000000,1975.4000000
LKOH,D,20110315,000000,1927.7000000
LKOH,D,20110316,000000,1934.8000000
LKOH,D,20110317,000000,1989.0000000
LKOH,D,20110318,000000,2012.0000000
LKOH,D,20110321,000000,2012.0000000
LKOH,D,20110322,000000,1971.0000000
LKOH,D,20110323,000000,2016.3000000
LKOH,D,20110324,000000,2051.0000000
LKOH,D,20110325,000000,2046.3000000
LKOH,D,20110328,000000,2027.5000000
LKOH,D,20110329,000000,1995.0000000
LKOH,D,20110330,000000,2032.5000000
LKOH,D,20110331,000000,2032.7000000
LKOH,D,20110401,000000,2057.0000000
LKOH,D,20110404,000000,2059.9000000
LKOH,D,20110405,000000,2050.1000000
LKOH,D,20110406,000000,2070.0000000
LKOH,D,20110407,000000,2035.2000000
LKOH,D,20110408,000000,2047.1000000
LKOH,D,20110411,000000,2027.6000000
LKOH,D,20110412,000000,1980.0000000
LKOH,D,20110413,000000,1992.1000000
LKOH,D,20110414,000000,1951.2000000
LKOH,D,20110415,000000,1965.0000000
LKOH,D,20110418,000000,1899.9000000
LKOH,D,20110419,000000,1949.9000000
LKOH,D,20110420,000000,1973.0000000
LKOH,D,20110421,000000,1953.9000000
LKOH,D,20110422,000000,1954.1000000
LKOH,D,20110425,000000,1939.6000000
LKOH,D,20110426,000000,1918.0000000
LKOH,D,20110427,000000,1900.0000000
LKOH,D,20110428,000000,1904.0000000
LKOH,D,20110429,000000,1895.1000000
