<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,20100111,000000,86.6900000
SBER,D,20100112,000000,85.0000000
SBER,D,20100113,000000,86.6100000
SBER,D,20100114,000000,87.5500000
SBER,D,20100115,000000,88.1500000
SBER,D,20100118,000000,90.4900000
SBER,D,20100119,000000,92.0200000
SBER,D,20100120,000000,90.6200000
SBER,D,20100121,000000,89.1800000
SBER,D,20100122,000000,86.5000000
SBER,D,20100125,000000,88.0700000
SBER,D,20100126,000000,85.8400000
SBER,D,20100127,000000,86.6400000
SBER,D,20100128,000000,87.1500000
SBER,D,20100129,000000,88.4100000
SBER,D,20100201,000000,87.6900000
SBER,D,20100202,000000,88.0500000
SBER,D,20100203,000000,88.0800000
SBER,D,20100204,000000,84.7700000
SBER,D,20100205,000000,83.0900000
SBER,D,20100208,000000,79.0100000
SBER,D,20100209,000000,80.3500000
SBER,D,20100210,000000,81.4900000
SBER,D,20100211,000000,82.6700000
SBER,D,20100212,000000,80.0000000
SBER,D,20100215,000000,80.3800000
SBER,D,20100216,000000,83.2500000
SBER,D,20100217,000000,82.4700000
SBER,D,20100218,000000,79.8900000
SBER,D,20100219,000000,79.1700000
SBER,D,20100224,000000,75.9900000
SBER,D,20100225,000000,74.8800000
SBER,D,20100226,000000,75.1500000
SBER,D,20100227,000000,76.3000000
SBER,D,20100301,000000,80.2600000
SBER,D,20100302,000000,82.4400000
SBER,D,20100303,000000,82.9200000
SBER,D,20100304,000000,82.9500000
SBER,D,20100305,000000,87.2000000
SBER,D,20100309,000000,89.4100000
SBER,D,20100310,000000,87.1400000
SBER,D,20100311,000000,87.4100000
SBER,D,20100312,000000,89.1000000
SBER,D,20100315,000000,87.8200000
SBER,D,20100316,000000,89.0000000
SBER,D,20100317,000000,89.3500000
SBER,D,20100318,000000,89.7000000
SBER,D,20100319,000000,88.0400000
SBER,D,20100322,000000,86.3400000
SBER,D,20100323,000000,86.0300000
SBER,D,20100324,000000,86.9500000
SBER,D,20100325,000000,86.0000000
SBER,D,20100326,000000,84.6000000
SBER,D,20100329,000000,85.4600000
SBER,D,20100330,000000,85.1000000
SBER,D,20100331,000000,85.8000000
SBER,D,20100401,000000,87.8300000
SBER,D,20100402,000000,88.1800000
SBER,D,20100405,000000,88.6000000
SBER,D,20100406,000000,88.6000000
SBER,D,20100407,000000,86.3000000
SBER,D,20100408,000000,84.9400000
SBER,D,20100409,000000,86.8800000
SBER,D,20100412,000000,86.5400000
SBER,D,20100413,000000,87.2000000
SBER,D,20100414,000000,89.2000000
SBER,D,20100415,000000,89.3000000
SBER,D,20100416,000000,86.9900000
SBER,D,20100419,000000,85.2000000
SBER,D,20100420,000000,86.7000000
SBER,D,20100421,000000,85.5000000
SBER,D,20100422,000000,84.4500000
SBER,D,20100423,000000,84.4200000
SBER,D,20100426,000000,84.8100000
SBER,D,20100427,000000,82.9300000
SBER,D,20100428,000000,79.5300000
SBER,D,20100429,000000,80.9500000
SBER,D,20100430,000000,78.6000000
SBER,D,20100504,000000,75.8500000
SBER,D,20100505,000000,75.1700000
SBER,D,20100506,000000,73.8500000
SBER,D,20100507,000000,70.3500000
SBER,D,20100511,000000,75.0000000
SBER,D,20100512,000000,81.9300000
SBER,D,20100513,000000,80.8000000
SBER,D,20100514,000000,77.4300000
SBER,D,20100517,000000,76.0100000
SBER,D,20100518,000000,77.1200000
SBER,D,20100519,000000,73.6800000
SBER,D,20100520,000000,69.9000000
SBER,D,20100521,000000,69.3000000
SBER,D,20100524,000000,69.9600000
SBER,D,20100525,000000,64.3300000
SBER,D,20100526,000000,69.1200000
SBER,D,20100527,000000,70.6500000
SBER,D,20100528,000000,70.2000000
SBER,D,20100531,000000,71.0000000
SBER,D,20100601,000000,70.7000000
SBER,D,20100602,000000,70.9500000
SBER,D,20100603,000000,72.0100000
SBER,D,20100604,000000,70.2500000
SBER,D,20100607,000000,71.1400000
SBER,D,20100608,000000,70.9500000
SBER,D,20100609,000000,71.9000000
SBER,D,20100610,000000,73.2900000
SBER,D,20100611,000000,72.1900000
SBER,D,20100615,000000,76.0000000
SBER,D,20100616,000000,76.7100000
SBER,D,20100617,000000,78.5000000
SBER,D,20100618,000000,80.3000000
SBER,D,20100621,000000,84.0200000
SBER,D,20100622,000000,82.4100000
SBER,D,20100623,000000,80.8500000
SBER,D,20100624,000000,80.2800000
SBER,D,20100625,000000,78.0000000
SBER,D,20100628,000000,80.1300000
SBER,D,20100629,000000,77.5000000
SBER,D,20100630,000000,76.5000000
SBER,D,20100701,000000,71.9000000
SBER,D,20100702,000000,72.9800000
SBER,D,20100705,000000,73.3700000
SBER,D,20100706,000000,76.7000000
SBER,D,20100707,000000,77.4900000
SBER,D,20100708,000000,77.1800000
SBER,D,20100709,000000,77.6600000
SBER,D,20100712,000000,79.8000000
SBER,D,20100713,000000,82.4700000
SBER,D,20100714,000000,82.0600000
SBER,D,20100715,000000,80.7600000
SBER,D,20100716,000000,79.0700000
SBER,D,20100719,000000,80.5000000
SBER,D,20100720,000000,79.8000000
SBER,D,20100721,000000,81.9000000
SBER,D,20100722,000000,83.9300000
SBER,D,20100723,000000,83.0100000
SBER,D,20100726,000000,84.1900000
SBER,D,20100727,000000,84.6200000
SBER,D,20100728,000000,84.2800000
SBER,D,20100729,000000,86.5800000
SBER,D,20100730,000000,84.5600000
SBER,D,20100802,000000,86.5800000
SBER,D,20100803,000000,85.8400000
SBER,D,20100804,000000,85.8400000
SBER,D,20100805,000000,84.3000000
SBER,D,20100806,000000,82.8300000
SBER,D,20100809,000000,83.6800000
SBER,D,20100810,000000,82.8000000
SBER,D,20100811,000000,80.9300000
SBER,D,20100812,000000,80.9200000
SBER,D,20100813,000000,80.7100000
SBER,D,20100816,000000,79.9700000
SBER,D,20100817,000000,81.2600000
SBER,D,20100818,000000,80.6000000
SBER,D,20100819,000000,79.4000000
SBER,D,20100820,000000,78.3700000
SBER,D,20100823,000000,77.9500000
SBER,D,20100824,000000,75.4000000
SBER,D,20100825,000000,73.9900000
SBER,D,20100826,000000,76.6200000
SBER,D,20100827,000000,77.0100000
SBER,D,20100830,000000,77.3000000
SBER,D,20100831,000000,78.3100000
SBER,D,20100901,000000,80.4200000
SBER,D,20100902,000000,80.6300000
SBER,D,20100903,000000,81.7200000
SBER,D,20100906,000000,81.7400000
SBER,D,20100907,000000,79.9500000
SBER,D,20100908,000000,82.1800000
